trial_id,gid,start_frame,end_frame,n_frames,roi_hit,hit_frame,n_roi_at_hit,side_at_hit,x_gt_at_hit,y_gt_at_hit,speed_at_hit,speed_sign_at_hit,mean_speed,max_speed,min_speed,mean_abs_y_error,n_hit_frames,n_ok_frames,positive_speed_frames,negative_speed_frames,zero_speed_frames
55,55,102,110,9,1,103.0,4,bottom,1.7499988500267243,-0.871791993603177,1.448370425,1.0,3.5596505839999995,5.822075873999999,0.527805413,0.836576822016637,6,8,9,0,0
56,56,100,110,11,1,100.0,5,bottom,5.249999055368691,12.707170109516712,9.442010782,1.0,10.045483963272728,10.40505457,9.442010782,0.25749147850564663,11,11,11,0,0
57,57,100,110,11,1,100.0,2,bottom,8.749998655608135,22.08622238605557,12.59315711,1.0,13.01028977909091,13.31025259,12.59315711,0.4354354388807099,10,11,11,0,0
58,58,100,110,11,1,100.0,3,bottom,8.74999885077191,5.953899231937163,7.999007487999999,1.0,10.627559360727274,12.24965002,7.999007487999999,0.3000766821536523,11,11,11,0,0
59,59,101,110,10,1,102.0,6,bottom,5.249999055503807,-0.5632461547794692,1.4891755340000001,1.0,4.939166889000001,8.266079072,0.158357489,0.437269965294448,9,9,10,0,0
61,61,100,110,11,1,101.0,1,top,-1.7499999988313937,199.50895296728493,-8.277118168,-1.0,-8.244835493545454,-8.201410098,-8.313490651,0.2430425642560607,7,10,0,11,0
62,62,100,110,11,1,100.0,1,top,-8.749999999883906,191.86375576096154,-11.70758891,-1.0,-11.735185894545454,-11.67507248,-11.78542743,0.36547013616200535,9,11,0,11,0
63,63,107,110,4,1,108.0,5,bottom,8.749998653071204,0.09029266653776258,3.099926698,1.0,3.73940739775,5.808778499,1.5172747130000002,0.1703749154054143,3,3,4,0,0
64,64,100,110,11,1,100.0,1,top,-5.2499999974788505,198.5636098887193,-10.29670405,-1.0,-10.85983751090909,-10.29670405,-11.08614125,0.3836040986312112,10,11,0,11,0
67,67,100,110,11,0,,0,,,,,,-11.134486653636362,-10.29180948,-11.601557699999999,,0,0,0,11,0
68,68,100,110,11,0,,0,,,,,,-10.193444426727273,-9.408310951,-10.60492158,,0,0,0,11,0
69,69,100,110,11,1,101.0,1,top,-1.7499999987558983,215.8907152959612,-7.269265815,-1.0,-7.806772751727272,-7.016979942000001,-8.279841773,0.6077225889643728,5,10,0,11,0
70,70,100,110,11,0,,0,,,,,,-11.929132297272728,-11.4858483,-12.26738432,,0,0,0,11,0
71,71,100,110,11,0,,0,,,,,,-8.764736461909092,-8.031747716,-9.56982246,,0,0,0,11,0
72,72,103,110,8,1,109.0,1,top,-1.7500000004334533,222.15000793886082,-5.437311544,-1.0,-4.8224825925,-3.997991102,-5.592152594,0.27975465727274695,1,2,0,8,0
